N,P,K,temperature,humidity,ph,rainfall,label
101,17,47,29.49401389,94.72981338,6.185053234,26.30820876,muskmelon
98,8,51,26.1793464,86.52258079,6.25933595,49.43050977,watermelon
59,62,49,43.36051537,93.35191636,6.941496806,114.778071,papaya
44,60,55,34.2804607,90.55561637,6.825371185,98.54047745,papaya
30,137,200,22.91430043,90.70475565,5.603413172000001,118.6044645,apple
18,19,27,27.75518664,52.34605806,4.772385986000001,94.11213345,mango
35,145,195,22.03911546,94.58075845,6.231950009,110.9804014,apple
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,mungbean
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram
0,19,31,25.51791333,94.38420565,6.271952832999999,178.7297725,coconut
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
70,38,35,24.39736241,79.26861738,7.014063944,164.2697011,jute
25,12,26,28.56973521,95.67906668,6.436314406,134.83703480000003,coconut
36,24,41,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
6,124,200,22.98208095,93.84505029,5.971332179,109.5852253,apple
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
34,62,55,27.58548913,90.72526502,6.585346229,238.5008779,papaya
102,11,45,29.03167341,93.12603235,6.35544263,24.15591199,muskmelon
89,28,33,26.44414097,53.83876189,6.9932360010000005,175.3723314,coffee
49,55,53,38.4418717,93.63739039,6.544029776,77.71566883,papaya
32,18,13,13.8377282,91.74780462,6.044167236,107.9873218,orange
38,68,54,29.33710543,90.81781439,6.739170045,202.0572747,papaya
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea
74,40,40,25.13842773,83.12053888,6.386259977999999,169.33884650000005,jute
36,55,20,27.01470397,84.34262707,6.635968697999999,55.296354,mungbean
33,12,8,25.26052689,90.31153735,6.822282114,117.36952959999998,orange
39,77,21,22.99774444,60.24218572,4.603563116,159.689339,pigeonpeas
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
86,39,43,26.14576648,71.23690851,6.432051512,193.1007598,jute
12,80,19,21.91041045,65.21662467,5.962001484,36.10211371,lentil
89,40,43,26.24532085,72.97198375,7.124050134,189.9711184,jute
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,blackgram
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,jute
27,79,82,17.06579293,17.54024066,6.307004922999999,70.87150577,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea
17,57,21,19.88394011,20.31564139,5.789214288999999,60.91974792,kidneybeans
